gb|University of Oxford|e|d99a1984-f0a1-ed11-aad1-000d3a85c377|University of Oxford|1000|635|YNY|ox.ac.uk
gb|University of Cambridge|e|60e5118a-f0a1-ed11-aad1-000d3a85c377|University of Cambridge|1101|577|YYY|undergraduate.study.cam.ac.uk
gb|Imperial College London|e|1a09f5a7-f0a1-ed11-aad1-000d3a85c377|Imperial College London|1101|1318|YYY|imperial.ac.uk
gb|University College London|e|82e5118a-f0a1-ed11-aad1-000d3a85c377|University College London|1000|3424|YNY|ucl.ac.uk
gb|London School of Economics and Political Science|e|ab9a1984-f0a1-ed11-aad1-000d3a85c377|London School of Economics and Political Science (LSE)|1000|1215|YNY|lse.ac.uk
gb|King's College London|e|1ab02773-f1a1-ed11-aad1-000d3a85c377|King's College London|1101|4457|YYY|kcl.ac.uk
gb|University of Edinburgh|e|69e5118a-f0a1-ed11-aad1-000d3a85c377|University of Edinburgh|1101|3002|YYY|ed.ac.uk
gb|University of Glasgow|e|ece5118a-f0a1-ed11-aad1-000d3a85c377|University of Glasgow|1000|957|YNY|gla.ac.uk
gb|University of St Andrews|e|24e6118a-f0a1-ed11-aad1-000d3a85c377|University of St Andrews|1100|913|YYY|st-andrews.ac.uk
gb|Durham University|e|d0e5118a-f0a1-ed11-aad1-000d3a85c377|Durham University|1000|966|YNY|durham.ac.uk
gb|University of Manchester|e|19cf5849-f1a1-ed11-aad1-000d3a85c377|University of Manchester|1101|4143|YYY|manchester.ac.uk
gb|University of Warwick|e|5ee6118a-f0a1-ed11-aad1-000d3a85c377|University of Warwick|1101|2980|YYY|warwick.ac.uk
gb|University of Bristol|r|abe5118a-f0a1-ed11-aad1-000d3a85c377|University of Bristol|1111|1521|YYY|bris.ac.uk
gb|University of Bath|e|8de5118a-f0a1-ed11-aad1-000d3a85c377|University of Bath|1101|1368|YYY|bath.ac.uk
gb|Loughborough University|e|bc9a1984-f0a1-ed11-aad1-000d3a85c377|Loughborough University|1101|720|YYY|lboro.ac.uk
gb|Lancaster University|e|34632f6d-f1a1-ed11-aad1-000d3a85c377|Lancaster University|1101|655|YYY|lancaster.ac.uk
gr|The American College of Greece (Deree)|e|72002978-f0a1-ed11-aad1-000d3a85c377|American College of Greece|1010|185|YNY|acg.edu
hk|The University of Hong Kong|e|1fb7efad-f0a1-ed11-aad1-000d3a85c377|University of Hong Kong|1010|10231|YNY|admissions.hku.hk
hk|The Chinese University of Hong Kong|e|91002978-f0a1-ed11-aad1-000d3a85c377|The Chinese University of Hong Kong|1010|5187|YNY|cuhk.edu.hk
hk|The Hong Kong University of Science and Technology|e|ee07f5a7-f0a1-ed11-aad1-000d3a85c377|Hong Kong University of Science and Technology (HKUST)|1010|4701|YNY|hkust.edu.hk
hk|The Hong Kong Polytechnic University|e|e907f5a7-f0a1-ed11-aad1-000d3a85c377|Hong Kong Polytechnic University|1010|2710|YNY|polyu.edu.hk
hk|City University of Hong Kong|e|d507f5a7-f0a1-ed11-aad1-000d3a85c377|City University of Hong Kong|1010|1879|YNY|cityu.edu.hk
hk|Hong Kong Baptist University|e|8f002978-f0a1-ed11-aad1-000d3a85c377|Hong Kong Baptist University|1010|842|YNY|hkbu.edu.hk
hk|Lingnan University|e|95002978-f0a1-ed11-aad1-000d3a85c377|Lingnan University|1010|285|YNY|ln.edu.hk
hk|The Education University of Hong Kong|e|10f90a28-f2a1-ed11-aad1-000d3a85c377|The Education University of Hong Kong|1010|204|YNY|eduhk.hk
hk|The Hong Kong Academy for Performing Arts|e|1b5ce494-f2a1-ed11-aad1-000d3a85c377|Hong Kong Academy for Performing Arts|1000|56|Y--|hkapa.edu
hk|The Hang Seng University of Hong Kong|e|8841d6ac-f2a1-ed11-aad1-000d3a85c377|Hang Seng University of Hong Kong|1000|78|YNN|hsu.edu.hk
hk|Hong Kong Metropolitan University|e|7b41d6ac-f2a1-ed11-aad1-000d3a85c377|Hong Kong Metropolitan University|1000|228|Y-Y|hkmu.edu.hk
hk|Hong Kong Shue Yan University|e|c30cdf9a-f2a1-ed11-aad1-000d3a85c377|Hong Kong Shue Yan University|1000|43|Y--|hksyu.edu
hu|Semmelweis University|e|20b7efad-f0a1-ed11-aad1-000d3a85c377|Semmelweis University (Semmelweis Egyetem)|1000|298|YNN|semmelweis.hu
hu|University of Szeged|e|0608f5a7-f0a1-ed11-aad1-000d3a85c377|University of Szeged (Szegedi Tudomànyegyetem)|1000|161|Y--|u-szeged.hu
hu|University of Pécs|e|f8c4206f-f3a1-ed11-aad1-000d3a85c377|University of Pécs (Pécsi Tudományegyetem)|1101|115|YYY|international.pte.hu
hu|Corvinus University of Budapest|e|8aa22f04-f2a1-ed11-aad1-000d3a85c377|Corvinus University of Budapest (Budapesti Corvinus Egyetem)|1100|149|YYY|uni-corvinus.hu
hu|Eötvös Loránd University|e|f307f5a7-f0a1-ed11-aad1-000d3a85c377|Eötvös Loránd University (Eötvös Loránd Tudományegyetem)|1000|134|Y--|elte.hu
ie|Trinity College Dublin|e|a4002978-f0a1-ed11-aad1-000d3a85c377|Trinity College Dublin|1000|1744|YNY|tcd.ie
ie|University College Dublin|e|4908f5a7-f0a1-ed11-aad1-000d3a85c377|University College Dublin|1100|1154|YYY|ucd.ie
ie|University of Galway|e|4c632f6d-f1a1-ed11-aad1-000d3a85c377|University of Galway|1000|261|Y--|universityofgalway.ie
ie|University College Cork|e|3fb7efad-f0a1-ed11-aad1-000d3a85c377|University College Cork|1000|415|Y--|ucc.ie
ie|University of Limerick|e|3c522a0a-f2a1-ed11-aad1-000d3a85c377|University of Limerick|1000|107|YNY|ul.ie
ie|Dublin City University|e|2908f5a7-f0a1-ed11-aad1-000d3a85c377|Dublin City University|1000|130|YNY|dcu.ie
ie|Maynooth University|e|3908f5a7-f0a1-ed11-aad1-000d3a85c377|Maynooth University|1000|44|YNY|maynoothuniversity.ie
